id,question,answer,category,urgency
DAT022,Need to implement data loss prevention for department.,"Define sensitive data patterns for your department. Create DLP policies with appropriate actions (block, encrypt, notify). Test policies in audit mode first. Train users on data handling. Regular review of DLP incidents. Adjust policies based on false positives.",Data Management,medium
DAT023,Database replication for high availability.,Transactional replication for reporting databases. Merge replication for distributed updates. Snapshot replication for reference data. Log shipping for disaster recovery. Monitor replication latency. Failover testing required quarterly.,Data Management,high
DAT024,Data quality monitoring and cleansing.,"Implement data validation rules at entry points. Regular data quality audits. Automated cleansing routines for known issues. Data steward responsible for quality. Metrics for data completeness, accuracy, timeliness. Continuous improvement process.",Data Management,medium
DAT025,File share permissions too complex to manage.,Simplify using group-based permissions. Regular permission reviews and cleanup. Implement inheritance where possible. Document permission structure. Consider migrating to SharePoint for better management. Automated permission reporting.,Data Management,medium
SYS021,System imaging not working for new computer models.,Update driver repository for new hardware. Modify task sequences for different models. Test imaging on pilot devices first. Some hardware requires specific driver injection. BIOS settings may need standardization. Contact imaging team for new model support.,System Administration,high
SYS022,Need to automate server patching process.,Use patch management system for scheduling. Create maintenance windows for different server groups. Pre-production testing before production deployment. Backout plans for failed patches. Compliance reporting. Emergency patching process for critical vulnerabilities.,System Administration,medium
SYS023,System performance baseline deviation detected.,Compare current metrics to established baseline. Check for recent changes or updates. Monitor for trending degradation. Performance tuning may be required. Consider capacity increase if growth-related. Root cause analysis for sudden changes.,System Administration,medium
SYS024,Virtual machine resource contention issues.,Check host resource utilization. Right-size VMs based on actual usage. Implement resource pools and limits. Consider vMotion to less loaded host. Monitor for noisy neighbor VMs. Regular capacity planning for virtualization cluster.,System Administration,medium
SYS025,Need to implement configuration management database.,Define CI (Configuration Item) types and relationships. Automate discovery where possible. Establish change management integration. Use for impact analysis and incident management. Regular CMDB audits for accuracy. Training for CMDB users.,System Administration,low
CLS021,Student response data not saving from classroom system.,"Check internet connectivity during session. Ensure software is logged in with correct account. Data may be stored locally until synced. Export data immediately after session. Use backup collection method (paper, alternative tool). Test data saving before important session.",Classroom/Lab Support,high
CLS022,Need to schedule recurring classroom technology training.,Book through faculty development center. Monthly workshops on different topics. Department-specific sessions available. Just-in-time training before semester starts. Online resources for self-paced learning. Feedback used to improve training.,Classroom/Lab Support,low
CLS023,Classroom recording quality issues (audio/video).,Check microphone placement and levels. Lighting adjustments for video quality. Camera positioning and focus. Test recording before important session. Use lapel mic for better audio. Post-production editing available for important recordings.,Classroom/Lab Support,medium
CLS024,Lab software license insufficient for class size.,Submit license increase request with course details. Explore concurrent licensing options. Consider virtual lab for overflow. Schedule lab sessions in shifts. Some software has student home-use options. Budget planning for future license needs.,Classroom/Lab Support,high
CLS025,Classroom technology not accessible for student with disability.,Contact disability services for accommodations. Adjustable furniture available. Assistive technology installed on request. Training for faculty on inclusive technology use. Pre-class testing with student if possible. Alternative formats for materials.,Classroom/Lab Support,high
GEN021,IT service catalog not up to date.,Service owners responsible for catalog updates. Quarterly review cycle for all services. Change management for service modifications. Customer feedback incorporated. Training for service owners on catalog management. Automated notifications for service changes.,General IT Support,low
GEN022,Need to benchmark IT services against peer institutions.,"Participate in industry benchmarking surveys. Peer comparisons available through consortiums. Focus on service quality, cost, and innovation. Action plans for areas needing improvement. Regular benchmarking (annual or bi-annual). Share results with stakeholders.",General IT Support,low
GEN023,IT communication strategy for major changes.,Multi-channel communication plan. Early notification for disruptive changes. Clear explanation of benefits and impacts. Feedback mechanism for concerns. Training and support resources. Post-implementation follow-up.,General IT Support,medium
GEN024,Managing expectations for IT service delivery.,Clear service level agreements published. Realistic timelines communicated. Regular progress updates. Managing scope changes formally. Customer education on IT processes. Transparent reporting on performance.,General IT Support,low
GEN025,IT innovation lab or sandbox environment.,Dedicated environment for testing new technologies. Available to faculty and students for innovation projects. Limited support for experimental setups. Regular showcases of innovative projects. Connection to academic programs. Resource allocation based on proposal.,General IT Support,low
NET026,Network segmentation for research lab security.,Submit network segmentation request with security requirements. Isolated VLAN with controlled access points. Firewall rules between segments. Monitoring for unusual cross-segment traffic. Regular security reviews. Segmentation based on data sensitivity.,Network & Connectivity,high
NET027,Load balancing configuration for high-traffic web service.,Global load balancer for geographic distribution. Health checks for backend servers. SSL termination at load balancer. Session persistence configuration. Auto-scaling integration. Performance monitoring and alerting.,Network & Connectivity,medium
NET028,Multicast networking for video streaming applications.,Enable multicast routing on network devices. Configure IGMP snooping. Bandwidth allocation for multicast traffic. Source-specific multicast for security. Testing in isolated network first. Not all network segments support multicast.,Network & Connectivity,medium
NET029,Network time protocol (NTP) synchronization issues.,"Use institutional NTP servers (ntp1.institution.edu, ntp2.institution.edu). Configure clients to sync regularly. Check firewall rules for port 123. Stratum 1 time sources available. Monitoring for time drift. Critical for authentication and logging.",Network & Connectivity,medium
NET030,Wireless mesh network for outdoor areas.,Outdoor wireless access points with mesh capability. Weatherproof enclosures and lightning protection. Coverage maps for planning. Bandwidth planning for expected usage. Maintenance schedule for outdoor equipment. Emergency power backup.,Network & Connectivity,low
SEC026,Third-party security assessment for vendor software.,Require vendor to provide recent security assessment. Independent penetration testing for critical systems. Review of security controls and practices. Contractual security requirements. Regular re-assessment for ongoing services. Risk acceptance for any deficiencies.,Security & Compliance,high
SEC027,Security operations center (SOC) monitoring alerts.,24/7 monitoring of security events. Tiered response structure. Automated alert correlation. Threat intelligence integration. Regular threat hunting exercises. Metrics for detection and response times.,Security & Compliance,critical
SEC028,Digital forensics investigation procedures.,Preserve chain of evidence. Imaging of affected systems. Timeline analysis of events. Correlation across multiple systems. Legal hold considerations. Expert testimony preparation if needed.,Security & Compliance,critical
SEC029,Security architecture review for new application.,Threat modeling during design phase. Security requirements specification. Code review for security flaws. Penetration testing before production. Security training for development team. Ongoing security monitoring post-deployment.,Security & Compliance,high
SEC030,Zero trust network access implementation.,Identity-based access control. Micro-segmentation of network. Continuous authentication. Device health checking. Least privilege access. Monitoring and analytics.,Security & Compliance,medium
ACC026,Just-in-time access provisioning for temporary needs.,Time-bound access requests. Automated approval workflows. Self-service access requests. Automatic revocation after duration. Usage monitoring during access period. Integration with project management tools.,Account & Access,medium
ACC027,Access certification campaign management.,Regular access reviews for all systems. Manager certification of employee access. Exception management process. Automated reminders and escalations. Compliance reporting. Continuous improvement based on findings.,Account & Access,medium
ACC028,Privileged access management (PAM) solution.,Vault for privileged credentials. Session recording and monitoring. Just-in-time elevation. Approval workflow for privileged access. Integration with ticketing system. Regular audit of privileged access.,Account & Access,high
ACC029,Multi-factor authentication fatigue attacks.,Implement number matching in MFA prompts. Limit MFA attempts. User education on MFA attacks. Context-aware authentication. Monitoring for unusual MFA patterns. Alternative authentication methods available.,Account & Access,high
ACC030,Identity governance for compliance requirements.,Define identity lifecycle processes. Role-based access control. Segregation of duties controls. Access certification automation. Audit trail for compliance reporting. Regular policy reviews.,Account & Access,medium
SOF026,Software bill of materials (SBOM) requirements.,Generate SBOM for all developed software. Include open source and third-party components. Vulnerability assessment based on SBOM. Supply chain security tracking. Required for certain compliance standards. Integration with security tools.,Software & Applications,medium
SOF027,Container security scanning and management.,Scan container images for vulnerabilities. Use trusted base images. Regular updates of container images. Runtime security monitoring. Registry scanning for compliance. Integration with CI/CD pipeline.,Software & Applications,high
SOF028,Software vulnerability management process.,Regular vulnerability scanning. Risk-based prioritization of fixes. Patching timelines based on severity. Testing patches before deployment. Emergency patching process. Reporting on vulnerability status.,Software & Applications,high
SOF029,API security testing and protection.,Authentication and authorization for all APIs. Rate limiting and throttling. Input validation and sanitization. Regular security testing of APIs. API gateway for centralized security. Monitoring for abnormal API usage.,Software & Applications,high
SOF030,Software supply chain security measures.,Verify integrity of downloaded software. Use signed packages from trusted sources. Dependency checking for vulnerabilities. Build process security. Delivery integrity verification. Incident response for supply chain attacks.,Software & Applications,critical
HRD026,Hardware security module (HSM) for cryptographic operations.,Dedicated HSM for key management. FIPS 140-2 validated devices. Integration with applications requiring crypto. Regular firmware updates. Physical security requirements. Backup and recovery procedures.,Hardware & Equipment,high
HRD027,Industrial control system (ICS) security for labs.,Network segmentation from general campus network. Specialized security controls for ICS. Regular vulnerability assessments. Physical access controls. Incident response plan for ICS. Training for lab personnel.,Hardware & Equipment,high
HRD028,Hardware tamper detection and response.,Tamper-evident seals on critical equipment. Physical intrusion detection. Remote wipe capability for mobile devices. Hardware security features (TPM). Regular physical inspections. Incident response for suspected tampering.,Hardware & Equipment,critical
HRD029,Supply chain security for hardware procurement.,Vendor security assessments. Hardware authenticity verification. Firmware integrity checking. Secure delivery and installation. Monitoring for counterfeit components. Lifecycle management including secure disposal.,Hardware & Equipment,medium
HRD030,Hardware-based authentication tokens.,FIDO2 security keys for phishing-resistant authentication. Smart cards for physical access and login. Token management system. Loss/theft reporting procedures. Backup authentication methods. User training on token use.,Hardware & Equipment,medium
EML026,Email authentication failures causing delivery issues.,"Check SPF, DKIM, DMARC configuration. Ensure sending infrastructure included in SPF. Monitor authentication reports. Warm-up new IP addresses for email sending. Test authentication before bulk sends. Contact email administrators for configuration help.",Email & Communication,high
EML027,Email continuity during outage or maintenance.,Webmail access typically remains available during client outages. Mobile access may work when desktop client fails. Critical communications have alternative channels. Planned maintenance announced in advance. Emergency communications via text alert system. Business continuity planning for extended outages.,Email & Communication,critical
EML028,Cross-tenant communication with external organizations.,Configure external federation if supported. Secure mail gateway for inter-organizational email. Consider encrypted email for sensitive communications. Testing with target organizations. Monitoring for delivery failures. Alternative communication methods for critical messages.,Email & Communication,medium
EML029,Email data sovereignty and residency requirements.,Understand data residency requirements for your data. Institutional email typically resides in regionally located datacenters. Special arrangements possible for sensitive research data. Contractual terms with email provider. Regular compliance verification. User awareness of data location.,Email & Communication,medium
EML030,Email security awareness training effectiveness.,Regular phishing simulation tests. Training completion tracking. Behavior monitoring for click rates. Continuous improvement of training content. Metrics for reduction in security incidents. Tailored training for high-risk groups.,Email & Communication,medium
DAT026,Data catalog for institutional data assets.,Inventory of data assets across institution. Metadata management for discoverability. Data lineage tracking. Data quality indicators. Access request workflow. Integration with analytics tools.,Data Management,low
DAT027,Data masking for non-production environments.,Automated data masking for sensitive fields. Referential integrity preservation. Format-preserving encryption options. Performance testing with masked data. Compliance with data protection regulations. Regular validation of masking effectiveness.,Data Management,medium
DAT028,Blockchain for academic credential verification.,Pilot program for digital diplomas. Integration with student information system. Verification portal for employers. Standards compliance (W3C Verifiable Credentials). User control of credential sharing. Long-term preservation considerations.,Data Management,low
DAT029,Data lake architecture for research analytics.,Centralized repository for structured and unstructured data. Schema-on-read flexibility. Integration with research data sources. Analytics tools and visualization. Data governance framework. Scalable storage and compute.,Data Management,medium
DAT030,Data ethics framework for research projects.,Ethics review for data collection and use. Informed consent processes. Data minimization principles. Bias detection and mitigation. Transparency in data practices. Ongoing ethics oversight.,Data Management,high
SYS026,Infrastructure as code for cloud provisioning.,Terraform or CloudFormation templates. Version control for infrastructure code. Automated testing of infrastructure changes. Consistent environments across stages. Cost optimization through code. Security scanning of infrastructure code.,System Administration,medium
SYS027,Service mesh implementation for microservices.,Istio or Linkerd for service-to-service communication. Traffic management and load balancing. Security policies between services. Observability and monitoring. Canary deployments. Performance optimization.,System Administration,medium
SYS028,GitOps for continuous deployment.,Git as single source of truth for infrastructure and apps. Automated synchronization to target environments. Pull request workflow for changes. Rollback through git revert. Compliance through git history. Integration with CI/CD pipeline.,System Administration,medium
SYS029,Observability platform implementation.,"Metrics, logs, and traces in unified platform. Real-time monitoring and alerting. Historical analysis and trending. Correlation across telemetry sources. AIOps for anomaly detection. Cost optimization for observability data.",System Administration,medium
SYS030,Chaos engineering for system resilience.,Controlled experiments to test system resilience. Failure injection in pre-production. Measurement of system behavior under stress. Learning and improvement from experiments. Gradual expansion to production. Integration with incident response.,System Administration,medium
CLS026,Immersive technology (VR/AR) in classrooms.,Dedicated VR/AR lab available. Curriculum integration support. Equipment checkout for classes. Technical support for setup. Content development resources. Assessment of learning outcomes.,Classroom/Lab Support,low
CLS027,Learning analytics integration with LMS.,Data extraction from learning management system. Analytics dashboard for instructors. Early alert system for at-risk students. Privacy-preserving analytics. Training on data interpretation. Continuous improvement based on insights.,Classroom/Lab Support,medium
CLS028,Digital proctoring solution implementation.,Multiple proctoring options available. Faculty training on effective use. Student orientation on requirements. Accessibility accommodations. Privacy and data protection. Technical support during exams.,Classroom/Lab Support,high
CLS029,Classroom response system integration with gradebook.,Automatic grade synchronization. Attendance tracking. Participation scoring. Data export for analysis. Privacy controls for student data. Training on effective use for assessment.,Classroom/Lab Support,medium
CLS030,Accessible course material creation tools.,Templates for accessible documents. Automated accessibility checking. Alternative format creation. Captioning and transcription services. Training on accessible design. Regular audits of course materials.,Classroom/Lab Support,medium
GEN026,IT sustainability and carbon footprint reduction.,Energy-efficient hardware procurement. Data center cooling optimization. Server virtualization for consolidation. Cloud migration for efficiency. Equipment lifecycle extension. Renewable energy sourcing.,General IT Support,low
GEN027,Digital transformation strategy for administrative processes.,Process analysis and optimization. Technology selection for digitization. Change management for adoption. Metrics for transformation success. Continuous improvement cycle. Stakeholder engagement throughout.,General IT Support,low
GEN028,IT talent development and retention strategies.,Career path development. Training and certification programs. Mentoring and coaching. Competitive compensation. Flexible work arrangements. Recognition and rewards.,General IT Support,low
GEN029,IT risk management framework.,Risk identification and assessment. Risk treatment strategies. Risk monitoring and reporting. Integration with enterprise risk management. Regular risk reviews. Risk-aware decision making.,General IT Support,medium
GEN030,Business continuity and disaster recovery testing.,Regular tabletop exercises. Full-scale disaster recovery tests. Lessons learned and improvement plans. Coordination with business units. Documentation updates based on tests. Compliance with regulatory requirements.,General IT Support,high
NET031,Software-defined networking (SDN) implementation.,Centralized network management and automation. Dynamic traffic engineering. Network virtualization. Integration with cloud environments. Security policy automation. Skills development for network team.,Network & Connectivity,medium
SEC031,Extended detection and response (XDR) platform.,Cross-domain threat detection. Automated investigation and response. Threat intelligence integration. Hunting capabilities. Compliance reporting. Integration with existing security tools.,Security & Compliance,high
ACC031,Passwordless authentication implementation.,FIDO2 security keys. Windows Hello for Business. Mobile authenticator apps. Biometric authentication. Phishing resistance benefits. User education and rollout plan.,Account & Access,medium
SOF031,Low-code/no-code platform governance.,Approved platforms list. Development standards and best practices. Security review process. Data governance integration. Training and support. Monitoring and audit of applications.,Software & Applications,medium
HRD031,Internet of Things (IoT) device management.,IoT device registration and inventory. Network segmentation for IoT. Security baseline for IoT devices. Monitoring for anomalous behavior. Firmware update management. End-of-life planning.,Hardware & Equipment,high
EML031,Email data classification and labeling.,Automatic classification based on content. Manual labeling options. Protection actions based on classification. User training on proper labeling. Compliance reporting. Integration with DLP.,Email & Communication,medium
DAT031,Data fabric architecture implementation.,Unified data management across environments. Metadata-driven data integration. Self-service data access. Data quality and governance. AI/ML integration. Hybrid and multi-cloud support.,Data Management,medium
SYS031,Edge computing infrastructure for research.,Low-latency processing near data sources. Integration with central cloud. Security for distributed edge nodes. Management and monitoring. Use cases identification. Cost-benefit analysis.,System Administration,medium
CLS031,Adaptive learning platform integration.,Personalized learning paths. Integration with existing LMS. Content development support. Analytics on learning effectiveness. Faculty training. Student orientation.,Classroom/Lab Support,medium
GEN031,IT service management (ITSM) maturity assessment.,Current state assessment against best practices. Gap analysis and improvement roadmap. Process optimization. Technology tool evaluation. Metrics for maturity progression. Regular reassessment.,General IT Support,low
NET021,How to set up a secure wireless access point for a department event?,"Submit temporary wireless network request at least 5 business days in advance. Provide event details, expected attendees, duration, and security requirements. Guest network will be provisioned with unique SSID and password. Bandwidth limits apply. Network automatically disabled after event. Technical support available during event.",Network & Connectivity,medium
NET022,Cannot access network resources after changing office location.,New network port may need activation. Submit port activation request with building and room number. VLAN configuration may differ between locations. Update static IP if assigned. Network profile may need refreshing. Allow 2 business days for port activation.,Network & Connectivity,medium
NET023,Internet connectivity lost after power outage.,Check if network equipment has power. Wait 10 minutes for automatic recovery. Reboot network switch if accessible. Report building-wide outages to facilities. Critical network equipment has UPS backup. Contact IT if not restored within 30 minutes.,Network & Connectivity,high
NET024,How to configure QoS for video conferencing traffic?,"QoS automatically applied for recognized video conferencing services (Zoom, Teams). Ensure using institution-approved services. Wired connection recommended for critical meetings. Home network QoS not managed by institution. For special events, request priority bandwidth allocation.",Network & Connectivity,low
NET025,Network latency issues affecting real-time applications.,Run traceroute to identify bottleneck. Check if using WiFi vs wired connection. Background updates may be consuming bandwidth. Test during different times of day. Some applications have specific port requirements. Contact IT with traceroute results for investigation.,Network & Connectivity,medium
SEC021,How to conduct a security risk assessment for a new project?,"Submit project security assessment request early in planning. Include system architecture, data types, users, and integrations. Security team provides threat modeling and controls recommendations. Follow secure development lifecycle. Regular security reviews throughout project. Final security sign-off required before launch.",Security & Compliance,medium
SEC022,Need to comply with GDPR for international research data.,Data protection impact assessment required. Implement data minimization and pseudonymization. Data processing agreements needed for international transfers. Designate data protection officer contact. Right to erasure procedures. Regular compliance audits.,Security & Compliance,high
SEC023,Social engineering attempt detected - caller asking for credentials.,Do NOT provide any information. Note caller details and report immediately to IT Security. Alert department colleagues. Review security awareness training. These attempts often increase during semester starts. IT may send campus-wide alert if pattern detected.,Security & Compliance,critical
SEC024,Unauthorized software installation detected on network.,Software will be automatically removed if violates policy. User notified with instructions. Repeated violations may result in network access suspension. Approved software available through software center. Development software requires separate approval process.,Security & Compliance,medium
SEC025,Need to implement least privilege access for administrative accounts.,Review current permissions and reduce to minimum necessary. Separate user and admin accounts. Use Just-In-Time elevation where possible. Regular review of privileged access. Monitor admin account usage. Implement approval workflow for privilege use.,Security & Compliance,high
ACC021,Account synchronization delay between systems.,"Normal sync cycle is 15 minutes. Major syncs occur hourly. Emergency sync available for critical needs. Check source system (HR for employees, registrar for students). Manual override possible with approval. Report sync failures exceeding 2 hours.",Account & Access,medium
ACC022,Need to access system as another user for troubleshooting.,Submit impersonation request with justification and duration. Requires manager approval. Logging of all actions performed. Limited to 4 hours maximum. Emergency impersonation available for critical systems. Regular audit of impersonation logs.,Account & Access,high
ACC023,Digital certificate expiration causing access issues.,Renew certificate before expiration date. Self-service portal for certificate renewal. Test new certificate in staging environment. Update all applications using certificate. Monitor for expiration warnings 30 days in advance. Emergency certificate issuance available.,Account & Access,high
ACC024,Biometric authentication not working consistently.,"Clean sensor and retry enrollment. Update biometric drivers. Some changes (weight, injury) may require re-enrollment. Alternative authentication methods available. Biometric data stored locally only. Technical support for hardware issues.",Account & Access,medium
ACC025,Access request workflow automation needed.,Use identity management system for automated provisioning. Define roles and approval workflows. Integration with HR system for joiner/mover/leaver processes. Self-service access requests with manager approval. Regular access certifications. Audit trail for compliance.,Account & Access,low
SOF021,Software compatibility issues after OS upgrade.,Check software vendor for compatibility statement. Some software requires specific OS versions. Virtualization or compatibility mode may help. Contact software vendor for patches. Legacy software may need replacement. Test in isolated environment before deployment.,Software & Applications,high
SOF022,Need to automate software deployment across department.,"Use software distribution system (SCCM, Jamf). Package software with silent install options. Test deployment on pilot group first. Schedule deployments during maintenance windows. Provide user notifications. Rollback plan essential.",Software & Applications,medium
SOF023,Software license server not responding.,Check license server status page. Restart license manager service. Verify network connectivity to server. Check license file expiration. Failover to backup server if configured. Contact vendor for license server issues.,Software & Applications,high
SOF024,Custom software development for department needs.,Submit project request with requirements. Development team assesses feasibility and timeline. Agile development methodology used. User acceptance testing required. Maintenance and support agreement needed. Consider commercial off-the-shelf alternatives first.,Software & Applications,low
SOF025,Software training materials and documentation.,Knowledge base articles available. Video tutorials for common tasks. In-person workshops scheduled monthly. Quick reference guides for department software. Training environment for practice. Custom training for department-specific workflows.,Software & Applications,low
HRD021,Computer fan running loudly constantly.,Clean dust from vents and fans. Check for processes using high CPU. May indicate failing fan or thermal paste. Use compressed air for cleaning. Hardware diagnostics available. Replace fan if bearings failing.,Hardware & Equipment,medium
HRD022,Need ergonomic assessment and equipment.,"Submit ergonomic assessment request. Specialist will evaluate workstation setup. Recommendations for chairs, desks, monitors, etc. Approved equipment available through procurement. Follow-up assessment after adjustments. Priority for medical accommodations.",Hardware & Equipment,low
HRD023,Tablet device not syncing with institutional systems.,Install mobile device management profile. Ensure using institution-approved apps. Check sync settings in each app. Some systems require VPN for off-campus sync. Clear app cache and retry. Factory reset as last resort.,Hardware & Equipment,medium
HRD024,Digital signage hardware not updating content.,Check network connectivity of signage player. Restart signage software. Verify content schedule is active. Update signage player software. Test with simple content first. Contact digital signage team for support.,Hardware & Equipment,medium
HRD025,Conference room AV system integration issues.,Check control system programming. Update firmware on all components. Test each component individually. Cabling may need verification. Room may need re-calibration. Contact AV integration specialist.,Hardware & Equipment,medium
EML021,Email search returning too many results.,"Use advanced search operators (from:, subject:, has:attachment). Specify date ranges. Search within specific folders. Use Boolean operators (AND, OR, NOT). Index may need rebuilding for precise results. Consider using desktop search tools.",Email & Communication,low
EML022,Need to archive departmental email for record keeping.,Use mailbox archive feature. Set retention policies for different folders. Export to PST for long-term storage. Consider using SharePoint for collaborative records. Legal hold may be required for certain communications. Consult records management for requirements.,Email & Communication,low
EML023,Email client rules not executing properly.,Check rule order - rules execute in order listed. Some rules only work when client is running. Server-side vs client-side rules distinction. Test with simple rule first. Too many rules may cause conflicts. Consider using inbox rules instead of client rules.,Email & Communication,low
